num_points,std,avg_median_dev,width,linearity,circularity,radius,boundary_length,boundary_regularity,mean_curvature,ang_diff,iav,std_iav,distance,dist_num_points,occluded_right,occluded_left,label
13,0.0450505,0.0386013,0.129797,0.0202226,0.000676215,0,0.165068,0.00687453,27.8179,2.60453,3.25768,1.47794,1.06613,0.0820101,1,1,1
10,0.0392675,0.0327633,0.116368,inf,0.00338193,0,0.14435,0.00790044,19.8984,2.40321,2.78888,1.51221,1.45499,0.145499,1,1,1
12,0.0375046,0.0313475,0.10268,4.01327,0.000952717,0,0.166323,0.00995731,58.4407,2.41816,3.70106,1.75457,1.02988,0.0858233,1,1,1
12,0.0452757,0.0389629,0.135816,0.0169686,0.000650472,0,0.167504,0.00538288,42.924,2.62527,2.37516,1.13495,1.41499,0.117916,1,1,1
14,0.0517441,0.04182,0.125688,0.324277,0.000846844,0,0.276304,0.016867,35.0119,2.50884,4.31354,1.83266,1.02059,0.0728995,1,1,1
7,0.0373004,0.0303315,0.100018,0.00560082,0.000482798,0,0.114546,0.0106152,23.6779,2.39904,2.1543,1.52994,1.35689,0.193841,1,1,1
12,0.0371547,0.031621,0.102716,inf,0.00046211,0,0.183682,0.012243,61.0359,2.43958,3.74122,1.76724,1.00689,0.0839079,1,1,1
24,0.13436,0.12769,0.349701,0.400183,0.0180158,0,0.523797,0.0266969,56.0597,2.84321,3.24432,1.21578,1.11933,0.0466389,1,1,1
11,0.0325029,0.0271068,0.0898559,3.55997,0.000434791,0,0.146085,0.00793088,64.0087,2.537,3.18827,1.71106,1.01,0.0918182,1,1,1
16,0.0504028,0.044485,0.149152,inf,0.00247123,0,0.222393,0.00694439,34.0365,2.70659,3.21945,1.33989,1.10066,0.0687911,1,1,1
15,0.0530119,0.0451822,0.135441,0.0392848,0.000475804,0,0.265583,0.0165033,37.0033,2.78571,3.43175,1.65372,1.00838,0.0672254,1,1,1
15,0.0482097,0.0412282,0.150852,0.0291792,0.000750172,0,0.212736,0.00611054,52.0376,2.7321,3.07548,1.29471,1.06785,0.0711899,1,1,1
11,0.0294035,0.0250177,0.0865169,3.55771,0.000646245,0,0.134547,0.00548898,75.3586,2.41551,2.96942,1.5176,0.971982,0.088362,1,1,1
14,0.0411817,0.0352125,0.126312,1.37888,0.00166646,0,0.17071,0.00480131,51.7432,2.64288,2.91617,1.28004,1.08748,0.0776771,1,1,1
34,0.26363,0.222855,0.877923,3.69109,0.0390102,0,0.893183,0.00878807,9.18629,2.95394,2.94664,0.749312,1.92498,0.0566171,1,1,1
20,0.0538443,0.0463629,0.166021,0.0487687,0.00120677,0,0.240469,0.00477149,62.5792,2.79171,3.25667,1.17673,0.960494,0.0480247,1,1,1
13,0.0397968,0.0341148,0.119479,0.112832,0.00342815,0,0.196282,0.00731088,28.3859,2.66635,2.77715,1.36983,1.1,0.0846154,1,1,1
22,0.0886166,0.0684527,0.259658,0.165571,0.00139315,0,0.344858,0.0218862,44.6197,2.8274,3.74366,1.29149,0.925222,0.0420555,1,1,1
23,0.19644,0.165867,0.635325,0.790727,0.0225302,0,0.647193,0.0089492,9.51426,2.88142,2.85083,0.901619,2.02,0.0878261,1,1,1
14,0.043615,0.0390952,0.126819,inf,0.0035271,0,0.206116,0.00818553,41.2558,2.62029,3.03876,1.41769,1.10415,0.0788676,1,1,1
16,0.0424907,0.0357412,0.133422,0.169682,0.000950273,0,0.158983,0.00343564,39.8993,2.70366,3.11106,1.23681,1.0082,0.0630123,1,1,1
15,0.04611,0.0411878,0.138198,0.0253777,0.00227195,0,0.202994,0.00732647,39.4991,2.65586,3.17855,1.37957,1.10266,0.0735107,1,1,1
28,0.219896,0.185383,0.719901,1.19233,0.0159645,0,0.737013,0.00926114,10.0199,2.92951,2.86591,0.816642,1.95498,0.0698208,1,1,1
13,0.0383043,0.0328836,0.115827,1.05551,0.00072152,0,0.151916,0.00496348,54.2506,2.66565,2.87041,1.30789,1.08052,0.083117,1,1,1
16,0.0534525,0.0477569,0.150449,inf,0.00201492,0,0.228521,0.00805421,48.2991,2.75571,3.17789,1.4244,1.11058,0.0694113,1,1,1
21,0.18139,0.15216,0.592714,0.684229,0.0363274,0,0.605304,0.00983525,9.10651,2.83997,2.86289,0.953126,2.05,0.097619,1,1,1
15,0.0457069,0.0403678,0.136749,5.06173,0.00145927,0,0.198502,0.00584585,51.966,2.73028,3.07004,1.29829,1.09921,0.0732807,1,1,1
16,0.0502306,0.0425006,0.158231,inf,0.00563316,0,0.196729,0.00378669,57.0376,2.75653,2.81766,1.11657,1.19364,0.0746024,1,1,1
9,0.0938357,0.076799,0.269386,0.0535417,0.00128595,0,0.271873,0.013272,5.90144,2.43312,2.44323,1.38672,2.23,0.247778,1,1,1
13,0.0408505,0.0359725,0.118179,1.5915,0.000862619,0,0.217443,0.00805197,52.5075,2.57979,3.31042,1.52704,1.09726,0.0844045,1,1,1
14,0.0433553,0.0377941,0.126992,inf,0.000916268,0,0.217772,0.00694678,52.2317,2.72268,3.01933,1.41222,1.09935,0.0785253,1,0,1
13,0.040759,0.0367662,0.118922,0.0173667,0.00085941,0,0.175008,0.00551542,43.3027,2.666,3.00405,1.4237,1.09507,0.0842363,1,1,1
10,0.0402037,0.0362648,0.110713,4.01232,0.00100762,0,0.164836,0.0106344,38.5307,2.45184,2.98795,1.64564,1.38247,0.138247,1,1,1
11,0.0343157,0.0286879,0.0995187,3.62288,0.000364704,0,0.14364,0.00614057,55.1837,2.5057,3.21688,1.62168,1.11619,0.101471,1,1,1
12,0.0536054,0.046193,0.158789,0.0255383,0.00261813,0,0.217501,0.0109429,26.6129,2.48403,3.21712,1.54008,1.41268,0.117723,1,1,1
11,0.0332395,0.0281562,0.0995187,3.61363,0.00115457,0,0.111514,0.003869,32.8464,2.57753,2.57049,1.28568,1.14,0.103636,1,1,1
10,0.0428351,0.0376225,0.118445,0.0153528,0.000861396,0,0.159587,0.00821543,44.1847,2.3841,3.008,1.63212,1.39142,0.139142,1,1,1
11,0.0361247,0.0312352,0.106797,3.6174,0.000338689,0,0.142397,0.00534638,50.4785,2.50766,3.0473,1.52141,1.15504,0.105004,1,1,1
9,0.0403198,0.0381437,0.103884,0.0120799,0.00116507,0,0.169632,0.0118296,44.0372,2.29936,2.87761,1.73553,1.39591,0.155101,1,1,1
9,0.0337812,0.0311852,0.0874692,0.00680114,0.00040168,0,0.132406,0.00654145,43.5542,2.44888,2.88375,1.7928,1.19417,0.132685,1,1,1
9,0.0421634,0.0394179,0.103884,0.0103712,0.00105829,0,0.161246,0.0113472,35.9804,2.37423,2.79245,1.76164,1.39582,0.155091,1,1,1
15,0.0908966,0.075516,0.246913,0.112305,0.00378545,0,0.327704,0.0185625,27.2268,2.63323,3.33087,1.49124,1.24397,0.082931,1,1,1
12,0.0436131,0.0365193,0.126833,0.01874,0.00420401,0,0.167916,0.00579039,31.9003,2.47166,2.97748,1.46837,1.20549,0.100458,1,1,1
13,0.0443909,0.037397,0.131805,0.0192713,0.000376717,0,0.158125,0.00408382,33.1504,2.54804,2.59348,1.24137,1.20602,0.0927705,1,1,1
14,0.0674843,0.0498015,0.245357,inf,0.000889432,0,0.308961,0.0288959,43.3606,2.59517,3.44092,1.46754,1.20986,0.0864188,1,0,1
16,0.08019,0.0637917,0.223123,0.0935502,0.00224414,0,0.300576,0.0199828,40.5927,2.68807,3.26952,1.44695,1.21603,0.0760019,1,1,1
22,0.105669,0.0935673,0.3004,0.220125,0.0202177,0,0.407818,0.0191606,46.7432,2.79705,2.91524,1.09107,1.23554,0.0561609,0,1,1
26,0.116843,0.10718,0.354492,0.326171,0.0299821,0,0.485509,0.0189022,36.8513,2.83995,3.22907,1.01414,1.25055,0.048098,1,1,1
26,0.118278,0.11338,0.314442,0.321372,0.0189942,0,0.480023,0.01945,33.9532,2.86767,3.16768,1.18568,1.15021,0.0442387,1,1,1
15,0.0406378,0.0351869,0.115545,0.0228037,0.000625607,0,0.178698,0.00629581,52.1422,2.61479,3.71916,1.53529,0.901994,0.0601329,1,1,1
18,0.0478503,0.0409321,0.13851,0.040168,0.00122911,0,0.227155,0.00688083,45.8506,2.6994,3.9101,1.4543,0.829869,0.0461039,1,1,1
13,0.0437987,0.0370386,0.128621,0.315941,0.00084838,0,0.177741,0.00563762,56.2027,2.54772,2.61519,1.27702,1.2,0.0923077,1,1,1
16,0.0372386,0.0314642,0.111528,inf,0.000372438,0,0.157921,0.00460239,44.242,2.69786,3.43071,1.38959,0.824902,0.0515564,1,1,1
16,0.0519491,0.0453853,0.155659,0.0364686,0.00595689,0,0.233663,0.00731953,42.2309,2.80431,2.69068,1.1897,1.19205,0.0745034,0,1,1
18,0.0408632,0.0354134,0.126455,0.0281599,0.00115242,0,0.225412,0.00627086,66.4911,2.7325,3.45497,1.2952,0.808423,0.0449124,1,1,1
14,0.0450545,0.0370746,0.150449,0.555289,0.00683598,0,0.179481,0.00662456,50.6131,2.62114,2.83699,1.23336,1.13187,0.0808481,0,1,1
17,0.0370981,0.0317785,0.114735,0.0271308,0.000970255,0,0.207811,0.00739978,68.7014,2.70106,3.45027,1.3398,0.800057,0.0470622,1,1,1
22,0.06719,0.0589877,0.204414,0.0898055,0.0042186,0,0.288862,0.00609167,34.0274,2.90066,3.19581,1.16,1.07196,0.0487254,1,1,1
